time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
1970-05-20T16:57:05.831547,61025.20754716981,-6.065701528590595e-10
1970-05-23T13:13:35.392283,47615.24528301887,1.2534231169671084e-09
1970-05-24T02:01:23.535925,7282.867924528302,5.18429752695485e-10
1970-05-24T04:43:57.800075,17037.132075471698,7.490955625071172e-10
1970-05-24T08:27:23.686868,30443.01886792453,-1.0213623822917664e-10
1970-05-24T14:21:44.215170,51703.54716981132,-4.280298582537896e-10
1970-05-24T17:07:33.045358,61652.377358490565,8.618270943535583e-11
1970-05-24T23:19:16.592528,83955.92452830188,2.797840018760838e-10
1970-05-25T01:11:25.678075,4285.132075471698,7.440003697059502e-11
1970-05-25T05:23:45.753547,19425.20754716981,5.620570242613112e-10
1970-05-25T12:15:41.225245,44140.67924528302,-1.4108722064209238e-11
1970-05-25T14:07:10.885623,50830.33962264151,-3.464796855670537e-10
1970-05-25T15:50:57.753547,57057.20754716981,2.685363616438911e-10
1970-05-25T17:44:36.017698,63875.47169811321,-7.206227739879896e-10
1970-06-19T02:53:22.125264,10401.962264150943,4.5504592600796036e-10
1970-06-19T06:51:45.974321,24705.81132075472,-1.2554231538920196e-11
1970-06-19T15:32:47.559226,55967.3962264151,1.058361681794839e-09
1970-06-19T17:45:10.653566,63910.49056603773,7.709950029123703e-11
1970-06-19T19:28:37.144132,70116.98113207547,-1.1350009287697802e-10
1970-06-19T21:30:22.351679,77422.18867924529,-1.0089222279374064e-09
1970-06-19T23:22:09.068660,84128.90566037736,-2.4003888537056583e-10
1970-07-17T01:41:35.774340,6095.094339622641,-7.756422822185286e-10
1970-07-17T05:05:15.849811,18315.169811320757,9.715271399722424e-10
1970-07-17T09:11:40.000755,33099.32075471698,6.952478310811973e-10
1970-07-17T11:51:48.604528,42707.92452830189,-3.5197173513421647e-10
1970-07-17T15:36:58.340377,56217.660377358494,7.993822799346036e-09
1970-07-17T19:40:30.717736,70830.03773584905,-4.162083828435551e-10
1970-07-17T22:27:21.887547,80841.2075471698,-5.441077418174162e-10
1970-07-18T00:36:53.145245,2212.679245283018,-4.935609394819227e-11
1970-07-18T02:43:07.484868,9787.018867924528,-4.987184958469763e-10
1970-07-18T05:19:55.333925,19194.867924528306,-3.9363732979134203e-10
1970-07-18T08:56:03.786755,32163.32075471698,2.852823528415906e-10
1970-07-18T11:29:11.409396,41350.943396226416,-1.5041888421413303e-10
1970-07-18T13:39:47.182981,49186.71698113208,-2.9988016884719755e-10
1970-07-18T15:56:56.918830,57416.45283018868,-2.750654778623931e-09
1970-07-18T23:07:37.975434,83257.50943396226,-6.528431156679508e-10
1970-07-20T05:15:32.411528,18931.924528301886,1.3845180056900535e-08
1970-07-27T03:49:31.244981,13770.716981132076,1.3910888920307452e-09
1970-09-09T00:32:47.370283,1967.245283018868,3.29778032695804e-10
1970-09-09T06:10:04.502358,22204.377358490565,5.320732355526784e-10
1970-09-09T07:57:27.370283,28647.245283018867,-4.3798459094698717e-10
1970-09-09T10:23:17.408019,37397.28301886792,-9.990006954784083e-11
1970-09-09T12:15:18.615566,44118.49056603773,-6.32700178074141e-10
1970-09-09T14:11:05.332547,51065.20754716981,-3.762871480421598e-10
1970-09-09T17:59:03.068396,64742.943396226416,-1.0197404388125876e-10
1970-09-09T20:27:52.125000,73672.0,2.435512435083657e-10
1970-10-26T01:13:34.023792,4413.88679245283,-1.0454515868834049e-10
1970-10-26T05:15:06.099264,18905.962264150945,1.4157090454914922e-09
1970-10-26T08:06:43.306811,29203.169811320757,3.9579883247864275e-10
1970-10-26T11:51:56.212472,42716.07547169811,-3.8983109967521045e-10
1970-10-26T15:41:14.703038,56474.56603773585,-3.9511289414910965e-09
1970-10-26T18:19:52.137000,65992.0,2.7768783149578564e-10
1970-10-26T20:22:08.137000,73328.0,4.761985755014114e-10
1970-10-26T22:22:46.174736,80566.03773584905,-3.7497473873375365e-10
1970-11-03T08:37:57.828962,31077.43396226415,3.34528206538065e-10
